Circuit: * D:\Sim\disparando_resistor.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.000800282 to 0.000800285
Heightened Def Con from 0.00360548 +++++++++++++++++++++++++to 0.00360548
Heightened Def Con from 0.00360548 ++++++++++++++to 0.00360548
Heightened Def Con from 0.00480553 ++++++++++++++++++to 0.00480554
Heightened Def Con from 0.0091737 ++++++++++++++++++++to 0.0091737
Heightened Def Con from 0.0381402 ++++++++++++++++++to 0.0381402
Heightened Def Con from 0.048054 +++++++++++++++++++to 0.048054
Heightened Def Con from 0.048054 +++++++++++++++++++to 0.048054
Heightened Def Con from 0.0516368 ++++++++++++++to 0.0516368
Heightened Def Con from 0.0516368 ++++++++++++++++++++++to 0.0516368
Heightened Def Con from 0.0516368 ++++++++++++++++++++++++++++++++++++to 0.0516368
Heightened Def Con from 0.0516368 +++++++++++++++++++++++++to 0.0516368
Heightened Def Con from 0.0758301 ++++++to 0.0758301
Heightened Def Con from 0.0758301 to 0.0758301
