Circuit: * D:\Sim\igbt.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 +to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 +to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728381
Heightened Def Con from 0.00728381 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 +to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 +to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 +to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728382
Heightened Def Con from 0.00728382 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
